,log2FoldChange,pvalue,padj,log2FoldChange,pvalue,padj,log2FoldChange,pvalue,padj
Dapma7bEVm000932,-0.336478789,0.697440406,NA,0.396186002,0.64345202,0.984108345,1.12249847,0.188813255,0.974249988
Dapma7bEVm000934,0.396897939,0.002947979,0.057671963,0.0327997,0.806117958,0.995280907,0.225005336,0.093103446,0.879043634
Dapma7bEVm000935,0.03702658,0.870117822,0.97569399,-0.011719709,0.958654992,0.998693083,0.062009651,0.784576948,0.998544574
Dapma7bEVm000936,-0.272090522,0.564559586,0.898512378,0.018814338,0.968086895,0.999117826,0.214302327,0.649213228,0.997835001
Dapma7bEVm000937,0.060990922,0.783030892,0.956341445,-0.110622799,0.617348853,0.980944104,-0.16111004,0.467955396,0.997835001
Dapma7bEVm000938,-0.256142876,0.367703511,0.801437718,-0.244987931,0.387358464,0.952985701,0.313118329,0.268662267,0.997835001
Dapma7bEVm000939,1.082962164,0.335391364,NA,0.581122295,0.60569467,0.97945564,-0.058279048,0.959082596,0.998544574
Dapma7bEVm000940,-0.185560792,0.100625575,0.510189475,-0.1966696,0.081623606,0.770189322,-0.170330876,0.132052659,0.933200618
Dapma7bEVm000941,-0.509083061,0.013663151,0.166342509,-0.301889133,0.140983057,0.839745761,-0.372049469,0.071815651,0.842554623
Dapma7bEVm000942,0.358450698,0.354002615,0.790889285,0.595707464,0.121060383,0.81827128,0.466033006,0.228876873,0.997835001
Dapma7bEVm000944,0.055850301,0.911849147,0.984001552,-0.597228443,0.236949832,0.907861485,-0.316844989,0.530588014,0.997835001
Dapma7bEVm000945,1.838973574,0.175639846,0.628682319,1.895085448,0.162713629,0.85603472,1.429213016,0.292928103,0.997835001
Dapma7bEVm000946,-0.615673973,0.272096628,NA,0.132608292,0.808518569,0.995280907,0.355112533,0.518125041,0.997835001
Dapma7bEVm000947,-0.358032784,0.198999236,0.656388952,-0.046779071,0.865623299,0.996018607,0.102478159,0.71197877,0.998544574
Dapma7bEVm000948,-0.381079791,0.465646413,NA,-0.140680475,0.786149983,0.995280907,0.096201839,0.853231327,0.998544574
Dapma7bEVm000949,-0.144468515,0.511551943,0.879989293,-0.179437083,0.413436957,0.952985701,-0.238309124,0.281310579,0.997835001
Dapma7bEVm000950,-0.33189148,0.302319945,0.753787881,0.123089685,0.699759682,0.992113972,0.552116284,0.083725498,0.869737321
Dapma7bEVm000951,-1.304406269,0.212045339,NA,-0.65254674,0.530120543,0.969618438,-1.329828682,0.204209368,0.986966954
Dapma7bEVm000952,-3.737099545,0.006360875,0.100663205,-1.175139313,0.385897204,0.952985701,-1.407303308,0.299609999,0.997835001
Dapma7bEVm000953,0.190366533,0.569932285,0.900764581,-0.060076913,0.857702525,0.996018607,0.028472475,0.932679804,0.998544574
Dapma7bEVm000954,-0.636884225,0.183325121,0.638598763,0.067841253,0.886299991,0.996018607,-0.770804939,0.108968717,0.914141657
Dapma7bEVm000955,-0.314317539,0.204160421,0.66115304,-0.448250161,0.069870709,0.739215586,-0.280076838,0.258683896,0.997835001
Dapma7bEVm000956,-0.280929724,0.170447344,0.62146825,-0.217769349,0.283391582,0.926961898,0.180832338,0.373724004,0.997835001
Dapma7bEVm000957,-0.78758554,0.021261359,0.217220885,-0.154320255,0.648145425,0.984108345,-0.884823679,0.010060471,0.454041982
Dapma7bEVm000958,-0.12381389,0.447524876,0.849528597,-0.257596399,0.113755539,0.807106535,-0.073658201,0.651769594,0.997835001
Dapma7bEVm000959,-0.127180008,0.596529626,0.908948229,-0.146837626,0.539735967,0.971159653,-0.14468583,0.548416073,0.997835001
Dapma7bEVm000960,0.121192523,0.825521241,NA,0.022222885,0.96771277,0.999117826,-0.531057317,0.339296385,0.997835001
Dapma7bEVm000961,-0.309820675,0.057275166,0.382884258,-0.268478647,0.099000996,0.793921054,-0.002091297,0.989755717,0.9993904
Dapma7bEVm000962,0.341413214,0.060114444,0.390599318,0.305706797,0.091747314,0.786523202,0.450116954,0.013272653,0.494851529
Dapma7bEVm000963,0.127427983,0.499820851,0.876097028,0.053299292,0.777311729,0.995280907,0.378394432,0.044969194,0.742147125
Dapma7bEVm000964,-0.180855906,0.320493762,0.765742769,-0.146835929,0.41892588,0.952985701,0.216469607,0.233708094,0.997835001
Dapma7bEVm000965,-0.604882832,0.059137324,0.388282855,-0.26132025,0.409997239,0.952985701,0.140419525,0.658197678,0.998247148
Dapma7bEVm000966,0.077986561,0.818490534,0.964779209,0.194221233,0.567230362,0.971159653,0.657143881,0.052883332,0.777775909
Dapma7bEVm000967,0.043773983,0.876659414,0.976136843,-0.162375902,0.564529713,0.971159653,0.118612228,0.674716456,0.998544574
Dapma7bEVm000968,-0.791050595,0.019171128,0.204443983,-0.176909464,0.595197343,0.977374888,-0.079768994,0.811559675,0.998544574
Dapma7bEVm000969,-0.14281605,0.449794524,0.850611422,0.023911759,0.898741377,0.996018607,0.058948726,0.755074771,0.998544574
Dapma7bEVm000970,-2.083998847,0.142783224,NA,-2.326195126,0.101777924,0.796905761,0.574460029,0.677896706,0.998544574
Dapma7bEVm000971,-0.62460459,0.637761571,NA,0.432904583,0.742862268,0.995280907,0.549364911,0.677463899,0.998544574
Dapma7bEVm000972,-0.113439344,0.932341012,NA,-2.170132397,0.113710311,0.807106535,0.303147365,0.820252981,0.998544574
Dapma7bEVm000973,0.232906572,0.232406537,0.692257484,0.110916005,0.569409944,0.971159653,-0.014830868,0.939493646,0.998544574
Dapma7bEVm000974,-1.994507484,0.113353085,NA,-1.031257533,0.410030838,0.952985701,-1.895925447,0.132640493,0.933200618
Dapma7bEVm000975,0.810466005,0.297617129,NA,0.15885346,0.839133962,0.995987636,0.357762045,0.648962169,0.997835001
Dapma7bEVm000976,-0.076026044,0.848551207,0.972106564,-0.094939548,0.810894805,0.995280907,-0.453235027,0.260088434,0.997835001
Dapma7bEVm000977,-0.518167421,0.155578816,0.599861231,-0.170477819,0.635726898,0.984106412,0.294959853,0.412339675,0.997835001
Dapma7bEVm000978,0.329654667,0.436277406,0.842041274,-0.368220702,0.386787933,0.952985701,-0.144603016,0.734713956,0.998544574
Dapma7bEVm000980,-0.389358573,0.139033744,0.577159591,-0.258647275,0.323788969,0.941696037,-0.013268764,0.959712022,0.998544574
Dapma7bEVm000981,0.19243137,0.687384715,0.936827847,0.290357076,0.542295004,0.971159653,0.075724236,0.874687612,0.998544574
Dapma7bEVm000982,-0.351818649,0.187981304,0.6411707,-0.237230752,0.373206412,0.948118256,0.268095908,0.314056583,0.997835001
Dapma7bEVm000984,-0.08089324,0.515161055,0.882062464,-0.181208718,0.14472773,0.842431829,-0.134510123,0.279518847,0.997835001
Dapma7bEVm000985,0.560428256,0.36221954,NA,0.26769653,0.663558653,0.984108345,0.253058985,0.682742187,0.998544574
Dapma7bEVm000986,-0.631706199,0.075770595,0.441951861,-0.295206573,0.402299771,0.952985701,-0.049716152,0.888144817,0.998544574
Dapma7bEVm000987,0.391213899,0.580919413,0.904100988,0.355517109,0.615835531,0.980781759,0.905088501,0.201424938,0.986281518
Dapma7bEVm000988,-0.398343,0.417178042,NA,-0.074346299,0.878616646,0.996018607,-0.03890716,0.936666927,0.998544574
Dapma7bEVm000989,-0.493143817,0.073666098,0.436508924,-0.62755236,0.022750234,0.493964498,-0.057099685,0.835725563,0.998544574
Dapma7bEVm000990,-0.464549573,0.073883725,0.436508924,-0.556711561,0.031909778,0.574972789,-0.066268954,0.798336259,0.998544574
Dapma7bEVm000991,1.798490669,1.28E-16,6.05E-14,0.33260021,0.126634949,0.828331342,0.542611687,0.01275586,0.491203474
Dapma7bEVm000992,-0.13480386,0.813929758,0.962955962,-0.379092327,0.508053547,0.966399714,-0.153623224,0.788809725,0.998544574
Dapma7bEVm000993,-0.09376594,0.781186968,0.956341445,-0.086831553,0.7962342,0.995280907,-0.013499289,0.968164911,0.998544574
Dapma7bEVm000994,0.198223426,0.701444083,0.940978754,-0.183946307,0.722150051,0.994207572,0.526324368,0.308525255,0.997835001
Dapma7bEVm000995,0.499161184,0.395172813,0.818723099,0.230468061,0.694681439,0.991363978,1.318054733,0.024202408,0.59865342
Dapma7bEVm000996,-0.18127482,0.719879072,NA,0.049737597,0.921029951,0.996018607,0.04403889,0.930540142,0.998544574
Dapma7bEVm000997,-1.04633801,0.330613254,NA,-1.138670327,0.2886728,0.928699314,-0.638144424,0.551829918,0.997835001
Dapma7bEVm000998,0.112663741,0.803733964,0.961592451,-0.00294038,0.994817036,0.999771496,0.323097007,0.475988149,0.997835001
Dapma7bEVm000999,0.029380429,0.937644463,0.98995563,-0.345045216,0.359113733,0.947009914,0.204849611,0.585579854,0.997835001
Dapma7bEVm001000,0.313645641,0.558459249,0.896797781,-0.315327571,0.557481081,0.971159653,-0.072916625,0.892305846,0.998544574
Dapma7bEVm001001,-0.285121009,0.811953318,NA,0.492064181,0.680413211,0.988531363,0.408045217,0.733035476,0.998544574
Dapma7bEVm001002,-0.783553204,0.187764243,0.6411707,-0.592802085,0.317650535,0.941696037,-0.814138579,0.171909715,0.962707847
Dapma7bEVm001003,-0.42919435,0.261037297,0.718776317,-0.708144229,0.063765841,0.722856995,-0.088260852,0.816964155,0.998544574
Dapma7bEVm001004,-0.339193037,0.038888186,0.310157884,-0.113720198,0.485822195,0.960845359,-0.200283323,0.223096585,0.997835001
Dapma7bEVm001007,3.082566083,0.000116392,NA,2.413917344,0.002614554,0.177280996,3.012267265,0.000170196,0.037508524
Dapma7bEVm001009,-0.742900181,0.454732895,NA,0.067666418,0.945283012,0.997211633,-0.765995084,0.441999412,0.997835001
Dapma7bEVm001010,-0.558960431,0.071190856,0.427245545,-0.250510372,0.414252387,0.952985701,-0.449277992,0.147740093,0.945435905
Dapma7bEVm001011,-0.568715773,0.115542358,0.537372266,-0.359826488,0.316137946,0.941696037,0.328530341,0.358745526,0.997835001
Dapma7bEVm001012,0.080216337,0.731614157,0.947305716,0.320050672,0.168301807,0.862111873,0.28347341,0.225469095,0.997835001
Dapma7bEVm001013,0.229949897,0.809421265,NA,-0.308287442,0.746678922,0.995280907,0.121683972,0.898552406,0.998544574
Dapma7bEVm001014,1.555332554,0.294551465,NA,1.969015612,0.183472743,0.87409321,3.504322978,0.017669121,0.550685505
Dapma7bEVm001015,-0.218199097,0.38293743,0.809484453,-0.170646402,0.493677807,0.964158903,-0.08078018,0.746875667,0.998544574
Dapma7bEVm001016,0.338989307,0.172605368,0.623796379,-0.024532149,0.921555973,0.996018607,0.619559995,0.012528519,0.490513705
Dapma7bEVm001018,-0.099499738,0.784373015,0.956341445,-0.104847198,0.772582101,0.995280907,0.039119218,0.914388808,0.998544574
Dapma7bEVm001019,0.128065831,0.627008877,0.918073906,0.215344526,0.413284776,0.952985701,-0.242752431,0.358411531,0.997835001
Dapma7bEVm001020,0.090892657,0.725697462,0.945412097,-0.05098272,0.84385515,0.995987636,-0.381393534,0.143832045,0.943201822
Dapma7bEVm001021,0.531119103,0.11920099,0.54369316,0.345566082,0.310591952,0.939154914,0.054862342,0.872519386,0.998544574
Dapma7bEVm001022,-0.464006404,0.040739931,0.317197453,-0.333867244,0.137699548,0.834763447,-0.753238243,0.001049556,0.138328875
Dapma7bEVm001023,0.41269858,0.155214566,0.599308509,0.296035274,0.307555314,0.938852682,0.008778064,0.975998964,0.998544574
Dapma7bEVm001024,-0.061445303,0.80867146,0.961784623,0.039719315,0.87508169,0.996018607,-0.300927365,0.238999982,0.997835001
Dapma7bEVm001025,0.111792615,0.665463559,0.930209681,-0.048020906,0.852561484,0.995993586,-0.437570889,0.093035886,0.879043634
Dapma7bEVm001026,0.126530994,0.723389298,0.94503459,0.225117453,0.528832308,0.969618438,-0.653445552,0.067762238,0.831581369
Dapma7bEVm001027,0.829703943,0.032673339,0.280019451,0.965207906,0.012743263,0.381100709,0.698488066,0.072902576,0.844126466
Dapma7bEVm001028,-0.038915754,0.901249388,0.980383288,0.458074262,0.14151171,0.839745761,-0.156458709,0.619269988,0.997835001
Dapma7bEVm001029,0.408461094,0.021484769,0.218303283,0.21341543,0.229354831,0.903927488,-0.149155861,0.405924152,0.997835001
Dapma7bEVm001030,0.478539721,0.021926591,0.22113979,0.490867324,0.018655144,0.452940577,-0.10830288,0.605175625,0.997835001
Dapma7bEVm001031,0.092169372,0.745346318,0.950272967,0.431021304,0.126150937,0.828331342,0.091253363,0.748541276,0.998544574
Dapma7bEVm001032,0.134453409,0.580746199,0.904100988,0.442153352,0.067800186,0.735229122,-0.030665091,0.900254074,0.998544574
Dapma7bEVm001033,-0.2502416,0.219433602,0.67880042,-0.076936766,0.704313884,0.992113972,-0.039093953,0.847838731,0.998544574
Dapma7bEVm001034,0.188125285,0.488154689,0.870550532,0.243235339,0.369589232,0.947850483,0.098619165,0.716633106,0.998544574
Dapma7bEVm001035,-0.014715457,0.965826145,0.99557375,0.348311227,0.309718946,0.939072552,-0.477383807,0.165784972,0.956380318
Dapma7bEVm001036,-0.035236311,0.925169375,0.98656553,-0.279561344,0.456094949,0.95840766,0.436011622,0.243038322,0.997835001
Dapma7bEVm001037,0.205175609,0.356379142,0.792057064,-0.038767387,0.861657554,0.996018607,-0.003725662,0.986680393,0.999369764
Dapma7bEVm001038,-0.188321373,0.440546004,0.8438097,0.135221682,0.578048848,0.97228775,-0.178341362,0.466002572,0.997835001
Dapma7bEVm001039,-0.1854653,0.34076209,0.781848107,-0.040061406,0.835909358,0.995987636,-0.220553676,0.259488693,0.997835001
Dapma7bEVm001040,-0.803090999,0.078564173,0.448712156,-0.64807173,0.15429257,0.851074727,-0.499961527,0.273007513,0.997835001
Dapma7bEVm001041,-0.34476738,0.092159262,0.485579949,-0.064527648,0.749697183,0.995280907,-0.279793256,0.173230001,0.96482106
Dapma7bEVm001042,0.271088813,0.06012751,0.390599318,0.265712114,0.065036517,0.725646985,-0.104714482,0.469649131,0.997835001
Dapma7bEVm001043,-0.147512774,0.64360099,0.923149238,-0.086992923,0.784332259,0.995280907,-0.28762855,0.368986515,0.997835001
Dapma7bEVm001044,0.089134651,0.740106023,0.950272967,0.06227877,0.81640942,0.995280907,-0.204465796,0.44895731,0.997835001
Dapma7bEVm001045,-0.366530744,0.144816098,0.586249582,-0.350665901,0.161952463,0.855694214,-0.52059949,0.039188899,0.72529842
Dapma7bEVm001046,0.118407178,0.507336702,0.876636617,0.210936793,0.236269212,0.907861485,-0.148348645,0.408546902,0.997835001
Dapma7bEVm001047,-0.128922583,0.763940834,NA,-0.090713583,0.831765078,0.995987636,-1.33529921,0.00294535,0.243885155
Dapma7bEVm001048,-0.023768599,0.950793326,0.991560848,-0.072364838,0.850393681,0.995987636,0.294869767,0.442847143,0.997835001
Dapma7bEVm001049,0.992298399,1.28E-07,1.24E-05,0.378829514,0.043963132,0.64535942,0.247322123,0.189264072,0.974553498
Dapma7bEVm001050,-0.103175635,0.782032036,0.956341445,0.1807747,0.626746093,0.982704679,-0.974955132,0.009740085,0.450164233
Dapma7bEVm001051,0.198473822,0.355288789,0.791305404,-0.225013917,0.295548194,0.933826739,-0.270848274,0.211004735,0.99129443
Dapma7bEVm001052,0.239597618,0.535873268,0.890365635,0.458700018,0.235333948,0.907034807,-0.00609667,0.987454027,0.999369764
Dapma7bEVm001053,-0.160250682,0.564123677,0.898501309,0.00518507,0.985054484,0.999771496,0.35978957,0.194012414,0.98255331
Dapma7bEVm001054,0.187376724,0.592825732,0.908515651,0.276570916,0.428548162,0.953108977,0.028102252,0.936340039,0.998544574
Dapma7bEVm001055,0.033846895,0.901237969,0.980383288,0.124306295,0.647762669,0.984108345,0.112411669,0.680550407,0.998544574
Dapma7bEVm001056,-0.155927423,0.504439573,0.876547521,0.203504354,0.379588403,0.951762491,-0.103455424,0.658678542,0.998307779
Dapma7bEVm001057,0.16267896,0.542405613,0.892818524,0.078220098,0.769167379,0.995280907,0.315767551,0.237312999,0.997835001
Dapma7bEVm001058,0.290006913,0.546143644,0.893667133,0.284351318,0.553748364,0.971159653,-0.468757693,0.331199981,0.997835001
Dapma7bEVm001059,0.103098972,0.743890152,0.950272967,-0.568440963,0.073521349,0.754213627,0.093217866,0.768378341,0.998544574
Dapma7bEVm001060,-0.55225865,0.414283317,NA,-0.428631872,0.525203856,0.969243458,0.132551747,0.844131467,0.998544574
Dapma7bEVm001061,-0.163741978,0.502809006,0.876547521,-0.053118789,0.826564155,0.995280907,0.218281129,0.369661716,0.997835001
Dapma7bEVm001062,-0.158128236,0.260628838,0.718767885,0.083003168,0.55019585,0.971159653,-0.175220428,0.215399475,0.991607831
Dapma7bEVm001063,-0.388174396,0.157954206,0.602550024,-0.234753732,0.390351368,0.952985701,-0.246849684,0.369700166,0.997835001
Dapma7bEVm001064,0.182210247,0.543030327,0.892967851,-0.140501744,0.639500724,0.984108345,-0.081561485,0.787468227,0.998544574
Dapma7bEVm001065,0.059613734,0.778874447,0.956341445,0.348139478,0.09859169,0.793921054,0.013304903,0.950243616,0.998544574
Dapma7bEVm001066,0.091339071,0.660190724,0.92940001,-0.147018978,0.479089091,0.959980398,-0.018183489,0.930584964,0.998544574
Dapma7bEVm001067,0.62505814,1.38E-05,0.000751749,0.564131868,8.58E-05,0.016605289,0.251586952,0.081444223,0.861592708
Dapma7bEVm001069,0.309969531,0.573351988,0.90139025,-0.539587422,0.328298342,0.941696037,-0.921473866,0.097115152,0.892923331
Dapma7bEVm001070,-0.447971596,0.218291974,0.67848581,-0.419168327,0.246392308,0.908193465,-0.279288942,0.443059897,0.997835001
Dapma7bEVm001071,0.2040794,0.183291172,0.638598763,-0.12660936,0.409287249,0.952985701,-0.045217784,0.768770018,0.998544574
Dapma7bEVm001072,-0.342833786,0.076765057,0.444401794,0.003001863,0.987536487,0.999771496,-0.365846794,0.05994169,0.809997037
Dapma7bEVm001073,0.113160347,0.550891751,0.896057112,0.068798927,0.716303545,0.994207572,-0.001095347,0.995412245,0.9993904
Dapma7bEVm001074,-0.646282159,0.182054639,0.635995475,-0.526966593,0.274775432,0.921222436,-1.146720662,0.019088079,0.551283734
Dapma7bEVm001075,-0.373235915,0.164256766,0.61217959,-0.27080873,0.312524636,0.940923794,-0.440523908,0.100911353,0.897648212
Dapma7bEVm001076,-0.313912475,0.486150415,0.869489894,-0.325918833,0.468202276,0.959980398,-0.454768358,0.315697056,0.997835001
Dapma7bEVm001077,-0.274952057,0.260439761,0.718767885,-0.265524785,0.275964385,0.921222436,-0.344907623,0.15934006,0.956380318
Dapma7bEVm001078,0.001989398,0.997127009,NA,-0.736850868,0.185520222,0.876798807,-1.260906947,0.02692036,0.625014838
Dapma7bEVm001079,0.0412602,0.834189781,0.966986346,0.151211551,0.441549679,0.954878077,-0.216913503,0.273681316,0.997835001
Dapma7bEVm001080,0.130889991,0.69118456,0.938414264,0.327675463,0.31781426,0.941696037,-0.119093293,0.71942089,0.998544574
Dapma7bEVm001081,0.398978307,0.391935986,0.817724036,0.814323238,0.080272053,0.765075427,0.735389656,0.11448778,0.920852017
Dapma7bEVm001082,-0.080410539,0.772777524,0.956341445,-0.092049509,0.740340824,0.995280907,0.084891674,0.76059533,0.998544574
Dapma7bEVm001083,0.09243074,0.650259142,0.926306827,0.046369232,0.81949979,0.995280907,-0.286333274,0.165072672,0.956380318
Dapma7bEVm001084,0.03753945,0.806101251,0.961784623,0.117612144,0.440848248,0.954878077,-0.232231393,0.130541645,0.933200618
Dapma7bEVm001085,0.195962042,0.235981916,0.696307663,-0.091623477,0.579696113,0.972382531,-0.128821434,0.439493814,0.997835001
Dapma7bEVm001086,0.19227836,0.396876288,0.81936371,0.020992928,0.926242235,0.997105207,-0.266195864,0.245088388,0.997835001
Dapma7bEVm001087,-0.136425781,0.484769411,0.869108296,0.003598656,0.98521663,0.999771496,-0.073374231,0.707724299,0.998544574
Dapma7bEVm001088,0.150452876,0.483139456,0.867974936,0.105272203,0.622847429,0.981282687,-0.043787447,0.839161718,0.998544574
Dapma7bEVm001089,-0.198201796,0.40836888,0.8250007,-0.197780099,0.408309868,0.952985701,-0.092365602,0.700308602,0.998544574
Dapma7bEVm001090,0.179301038,0.682939559,NA,0.567122853,0.191938881,0.877495148,0.441492312,0.313959844,0.997835001
Dapma7bEVm001091,-1.814317911,NA,NA,0.100081694,NA,NA,0.159059681,NA,NA
Dapma7bEVm001092,0.039515341,0.799058445,0.960043395,0.023132988,0.881165144,0.996018607,-0.050264331,0.747205089,0.998544574
Dapma7bEVm001093,-0.707780223,0.190027236,0.643730889,0.184073158,0.730013302,0.994284703,0.281456325,0.598780877,0.997835001
Dapma7bEVm001094,-0.098960051,0.544849124,0.893659237,-0.052112506,0.748828943,0.995280907,-0.083720854,0.60955498,0.997835001
Dapma7bEVm001095,-0.219361929,0.206111745,0.664146515,0.074887799,0.663479426,0.984108345,-0.110733037,0.523999091,0.997835001
Dapma7bEVm001096,0.128167521,0.57854554,0.904100988,0.025459999,0.911986984,0.996018607,-0.049364208,0.831435635,0.998544574
Dapma7bEVm001097,0.231646299,0.181860561,0.635995475,0.119061424,0.490460136,0.96402874,0.204271203,0.242779751,0.997835001
Dapma7bEVm001098,-0.23199214,0.157888896,0.602550024,-0.061698265,0.704967536,0.992113972,-0.225235629,0.172222323,0.963984169
Dapma7bEVm001099,0.031504908,0.908462758,0.983814714,0.520118926,0.05484808,0.697461093,-0.166736219,0.546379556,0.997835001
Dapma7bEVm001100,0.083668471,0.505034827,0.876547521,-0.20640415,0.100235598,0.794455323,0.061148958,0.626971137,0.997835001
Dapma7bEVm001101,0.12983982,0.393022211,0.817959974,0.182542949,0.229442216,0.903927488,-0.133374971,0.381043047,0.997835001
Dapma7bEVm001102,-0.245070606,0.396344894,0.818723099,0.395563353,0.167046077,0.860149194,0.176709479,0.539671344,0.997835001
Dapma7bEVm001103,0.703125733,0.001604367,0.036702051,0.394080008,0.077175471,0.760342934,0.158772324,0.48006383,0.997835001
Dapma7bEVm001104,0.239278769,0.234758523,0.696307663,0.434298146,0.030760968,0.568822237,0.107925011,0.592622337,0.997835001
Dapma7bEVm001105,0.600477996,0.001855838,0.040955186,0.497080052,0.009895882,0.338852731,0.193358859,0.319357988,0.997835001
Dapma7bEVm001106,-0.111213423,0.615054615,0.914705155,-0.196113086,0.373545753,0.948118256,-0.002645494,0.990474422,0.9993904
Dapma7bEVm001107,0.248927396,0.530584563,0.887408143,-0.410673138,0.30264579,0.934692763,-0.062968235,0.874554156,0.998544574
Dapma7bEVm001108,-0.060873998,0.831525704,0.966225934,-0.057477784,0.840028848,0.995987636,-0.312886296,0.279299711,0.997835001
Dapma7bEVm001109,-0.190645688,0.830489208,NA,0.621172738,0.483380994,0.960202862,-0.317583576,0.722018044,0.998544574
Dapma7bEVm001110,0.224181707,0.776811328,NA,0.205771479,0.794410201,0.995280907,-0.202022847,0.799474857,0.998544574
Dapma7bEVm001111,0.335861918,0.153712955,0.598197729,0.168960654,0.472470009,0.959980398,0.917861393,8.96E-05,0.022512299
Dapma7bEVm001112,-0.010837988,0.954351436,0.991962559,0.319314738,0.090381101,0.786032462,0.004846925,0.979611173,0.998710342
Dapma7bEVm001113,-0.110039998,0.633232717,0.918525776,-0.053501295,0.815787658,0.995280907,-0.090526775,0.69546875,0.998544574
Dapma7bEVm001114,-1.061851798,0.033236671,NA,-0.542774023,0.271081668,0.921222436,-0.467926087,0.345003643,0.997835001
Dapma7bEVm001115,-0.016345257,0.964733761,0.995495649,0.028169994,0.938976196,0.997211633,-0.191440575,0.607202724,0.997835001
Dapma7bEVm001116,0.456374749,0.000178425,0.006544817,0.101072469,0.407096606,0.952985701,0.188526573,0.123798002,0.93071155
Dapma7bEVm001117,-1.24391395,0.009680024,NA,-0.297419706,0.524326903,0.969243458,-0.495192832,0.295277966,0.997835001
Dapma7bEVm001118,-0.255562209,0.233613713,0.694380321,-0.073672928,0.730089567,0.994284703,-0.119695475,0.577261601,0.997835001
Dapma7bEVm001119,0.514077203,0.409091884,0.825535973,0.466630598,0.453473501,0.95782018,-0.240903722,0.699827259,0.998544574
Dapma7bEVm001120,-0.42176198,0.308483656,0.756208471,-0.330296665,0.423547782,0.952985701,-0.751198082,0.071715383,0.842554623
Dapma7bEVm001121,0.460324081,0.02254405,0.225971574,0.153361464,0.44742491,0.957609563,-0.314277532,0.121987683,0.926849964
Dapma7bEVm001122,0.630654565,0.079087987,0.450726724,0.568422541,0.112991953,0.807036234,0.454609342,0.207135954,0.990147509
Dapma7bEVm001123,-0.621292882,0.529678259,NA,-0.136458038,0.889439505,0.996018607,-0.582922085,0.556231807,0.997835001
Dapma7bEVm001124,0.143577951,0.537070965,0.890365635,-0.17793969,0.444755189,0.956356134,-0.051969649,0.824302082,0.998544574
Dapma7bEVm001125,0.51357453,0.309696891,NA,-0.09144508,0.857189537,0.996018607,0.446157646,0.379300593,0.997835001
Dapma7bEVm001126,-0.733530209,0.278743945,NA,0.533861967,0.419590466,0.952985701,1.007558002,0.127604441,0.932704674
Dapma7bEVm001127,0.18161164,0.207528759,0.667196728,0.212546298,0.139715275,0.837468985,-0.148776754,0.303336041,0.997835001
Dapma7bEVm001128,0.634228225,0.012908854,0.161550506,0.706164228,0.005479626,0.253211731,-0.157041859,0.544602848,0.997835001
Dapma7bEVm001129,0.064044323,0.791320359,0.958268461,0.200831583,0.405143949,0.952985701,0.068923462,0.776283909,0.998544574
Dapma7bEVm001130,-0.592713619,0.116369662,NA,-0.57584544,0.124708526,0.826677294,-0.567175576,0.134716497,0.935661568
Dapma7bEVm001131,0.217028315,0.362905809,0.798244376,0.234739815,0.323560613,0.941696037,0.198073472,0.407745816,0.997835001
Dapma7bEVm001132,-0.254922461,0.133579841,0.571487039,0.150877368,0.371026288,0.947850483,-0.148350267,0.383320426,0.997835001
Dapma7bEVm001133,0.114537686,0.798346165,0.959643642,-0.057492931,0.897856914,0.996018607,0.410069344,0.359779222,0.997835001
Dapma7bEVm001134,-0.633993024,0.020462844,0.213929733,-0.600022189,0.027636557,0.543809996,-0.231416455,0.396157208,0.997835001
Dapma7bEVm001135,0.126066788,0.577068659,0.904100988,0.181896777,0.420340537,0.952985701,0.098059426,0.664885049,0.998387735
Dapma7bEVm001136,0.182068752,0.495142805,0.873630094,0.113868037,0.669145221,0.984883206,-0.051212811,0.848573134,0.998544574
Dapma7bEVm001137,-0.570011315,0.242052882,NA,-0.12227302,0.799699216,0.995280907,0.059206758,0.902570209,0.998544574
Dapma7bEVm001138,0.135700383,0.650345817,0.926306827,-0.283073051,0.345142089,0.943571883,0.11804019,0.693969377,0.998544574
Dapma7bEVm001139,-0.324481276,0.128048049,0.559256587,-0.220774447,0.297708259,0.933826739,-0.065870233,0.757121071,0.998544574
Dapma7bEVm001140,-0.033802481,0.914515236,0.984668427,-0.619069049,0.050467382,0.67945982,-0.050915621,0.871953564,0.998544574
Dapma7bEVm001141,1.056422425,0.013721768,0.166753488,0.53844136,0.20934143,0.884141008,-0.176749597,0.681496449,0.998544574
Dapma7bEVm001142,-0.124894149,0.736740891,0.948821978,0.17183641,0.640871457,0.984108345,0.153437336,0.679169369,0.998544574
Dapma7bEVm001143,0.629800821,0.000408556,0.012689103,0.233654599,0.190455794,0.877495148,0.215960803,0.229068731,0.997835001
Dapma7bEVm001144,0.302980145,0.491247475,NA,0.24886626,0.570655884,0.971159653,0.298209101,0.499616195,0.997835001
Dapma7bEVm001145,-0.381038042,0.610120493,NA,-0.047401582,0.949253867,0.997211633,-0.289818768,0.698376596,0.998544574
Dapma7bEVm001146,0.192430289,0.143250302,0.585454876,0.127631739,0.330204779,0.941696037,0.136490683,0.301360093,0.997835001
Dapma7bEVm001147,0.256794745,0.283809605,0.737696926,0.191924226,0.421190759,0.952985701,0.074669118,0.757608403,0.998544574
Dapma7bEVm001148,0.918014675,0.000147405,0.005599369,0.593813568,0.014121274,0.402161526,0.217854449,0.37032377,0.997835001
